corr,true_h,n_trials,mean_tau,mean_tau_ci_lo,mean_tau_ci_hi,median_tau,q95_tau,error_rate,error_ci_lo,error_ci_hi,false_unlock_rate,false_unlock_ci_lo,false_unlock_ci_hi,failed_unlock_rate,mean_relocks,mean_N1,mean_N2
0.0,0,2000,54.5165,52.867642825270984,56.16535717472902,45.0,129.0,0.0105,0.006877887380873443,0.015998901907473176,0.0,1.0842021724855044e-19,0.001917047281252934,0.01,,51.248,3.2685
0.0,1,2000,73.7335,71.9058322522364,75.56116774776362,63.0,154.04999999999995,0.004,0.0020282466069651696,0.007873464296037741,0.0345,0.027351694147721588,0.04343307687112489,0.0,,73.3485,0.385
0.1,0,2000,52.8355,51.149089778556345,54.52191022144366,41.0,127.04999999999995,0.015,0.010527098037106688,0.021332437825708653,0.0,1.0842021724855044e-19,0.001917047281252934,0.015,,49.849,2.9865
0.1,1,2000,71.2195,69.22831045780755,73.21068954219244,60.0,158.0,0.0135,0.009294493997659236,0.019570793006999862,0.074,0.06332620153509969,0.08630712274852781,0.0,,70.495,0.7245
0.3,0,2000,50.4275,48.72673412907074,52.12826587092926,38.0,131.0,0.052,0.043099720209557914,0.06261795415444468,0.0,1.0842021724855044e-19,0.001917047281252934,0.0495,,47.577,2.8505
0.3,1,2000,63.901,61.989748625467996,65.81225137453201,51.5,149.0999999999999,0.032,0.025139125203291417,0.04065523105196132,0.1335,0.119294433627455,0.14911076202970336,0.0,,62.6065,1.2945
0.5,0,2000,45.012,43.456032318277224,46.56796768172278,34.0,116.0,0.127,0.11311861187744655,0.14231150539436807,0.0,1.0842021724855044e-19,0.001917047281252934,0.12,,42.7375,2.2745
0.5,1,2000,51.995,50.32703137542687,53.662968624573125,41.0,126.04999999999995,0.109,0.09608415062582279,0.12341498034811699,0.2305,0.21256960875452585,0.24946367973006944,0.0,,50.2585,1.7365
0.8,0,2000,31.3515,30.243225987554762,32.45977401244524,23.0,85.0,0.2405,0.2222781025919277,0.2597168449470425,0.0,1.0842021724855044e-19,0.001917047281252934,0.2315,,29.8685,1.483
0.8,1,2000,35.1405,34.0362492784153,36.24475072158471,28.0,86.0,0.259,0.24027526169484267,0.2786487550947212,0.386,0.3649019856224632,0.4075351011576624,0.0,,32.8395,2.301
