corr,true_h,n_trials,mean_tau,mean_tau_ci_lo,mean_tau_ci_hi,median_tau,q95_tau,error_rate,error_ci_lo,error_ci_hi,false_unlock_rate,false_unlock_ci_lo,false_unlock_ci_hi,failed_unlock_rate,mean_relocks,mean_N1,mean_N2
0.0,0,200,61.395,54.82258019775306,67.96741980224694,50.0,161.04999999999998,0.015,0.00511423779325831,0.04316572879269026,0.0,1.734723475976807e-18,0.018845326377266575,0.015,,58.26,3.135
0.0,1,200,78.415,72.17343938384954,84.65656061615047,67.0,156.79999999999973,0.005,0.0008831687156009814,0.02777370439789293,0.045,0.023852543001492997,0.0832967040018196,0.0,,77.815,0.6
0.1,0,200,49.14,44.706434667511274,53.57356533248873,42.5,112.09999999999997,0.01,0.0027466581335444384,0.0357217617161768,0.0,1.734723475976807e-18,0.018845326377266575,0.01,,46.32,2.82
0.1,1,200,71.31,64.91142784100954,77.70857215899046,62.0,150.09999999999997,0.015,0.00511423779325831,0.04316572879269026,0.095,0.06166310271738653,0.1436016116481994,0.0,,70.43,0.88
0.3,0,200,48.505,43.33166594837129,53.67833405162872,36.0,123.09999999999997,0.05,0.02738264560076393,0.08957814813877599,0.0,1.734723475976807e-18,0.018845326377266575,0.05,,45.5,3.005
0.3,1,200,64.755,58.70589823794462,70.80410176205537,54.5,147.09999999999997,0.02,0.0078044264163494685,0.050287086905826436,0.15,0.10713593562241995,0.20605579284166659,0.0,,63.19,1.565
0.5,0,200,44.815,39.92822507229094,49.70177492770905,33.0,110.19999999999993,0.12,0.08197992706375512,0.17234252098296743,0.0,1.734723475976807e-18,0.018845326377266575,0.11,,42.3,2.515
0.5,1,200,55.34,49.74268093883795,60.93731906116206,44.5,139.0,0.11,0.07377244460125303,0.1609269099730149,0.2,0.15045200926098115,0.2608551865653788,0.0,,53.85,1.49
0.8,0,200,30.095,26.75222755884536,33.43777244115464,21.0,75.0,0.245,0.1905686808903718,0.30904243556203415,0.0,1.734723475976807e-18,0.018845326377266575,0.225,,28.42,1.675
0.8,1,200,34.295,30.868440175353154,37.721559824646846,28.0,83.0,0.275,0.21779700329307355,0.34068339357669647,0.385,0.32033309726923215,0.45400132779753916,0.0,,32.305,1.99
