benchmark,delta,method,n_trials,error_rate,error_ci_lo,error_ci_hi,mean_tau,tau_ci_lo,tau_ci_hi,median_tau,p95_tau,mean_sensor_cost,sensor_cost_ci_lo,sensor_cost_ci_hi,cap_rate
binary_stairs,0.01,fixed_schedule,1000,0.032,0.022757107858710962,0.04482473808376865,1.625,1.5536912765360544,1.6963087234639456,1.0,4.0,1.636,1.560065495877154,1.7119345041228458,0.0
binary_stairs,0.01,oracle_all,1000,0.0,2.168404344971009e-19,0.0038267584855551234,1.095,1.0738822551896308,1.1161177448103692,1.0,2.0,5.475,5.369411275948154,5.580588724051846,0.0
binary_stairs,0.01,proposed_gated,1000,0.019,0.012196885750790904,0.02948445591231312,1.572,1.5097167412061367,1.6342832587938634,1.0,4.0,2.69,2.509359843133369,2.870640156866631,0.0
binary_stairs,0.01,reversible_posterior,1000,0.019,0.012196885750790904,0.02948445591231312,1.398,1.3543454774044683,1.4416545225955315,1.0,3.0,2.445,2.2940839962141206,2.595916003785879,0.0
binary_stairs,0.01,weak_only,1000,0.029,0.02026644815669875,0.04133835833669418,1.585,1.5197628443849176,1.6502371556150823,1.0,4.0,1.585,1.5197628443849176,1.6502371556150823,0.0
binary_stairs,0.05,fixed_schedule,1000,0.04,0.02951097368545276,0.05400964412125796,1.394,1.3434409281015647,1.4445590718984351,1.0,3.0,1.396,1.34429706098578,1.4477029390142198,0.0
binary_stairs,0.05,oracle_all,1000,0.015,0.009110978804081668,0.024600976926906798,1.019,1.010091395629385,1.0279086043706147,1.0,1.0,5.095,5.050456978146926,5.139543021853074,0.0
binary_stairs,0.05,proposed_gated,1000,0.015,0.009110978804081668,0.024600976926906798,1.404,1.3582303576337398,1.44976964236626,1.0,3.0,2.282,2.138643327299369,2.425356672700631,0.0
binary_stairs,0.05,reversible_posterior,1000,0.012,0.006877647806403522,0.02085726847549828,1.368,1.3271211927112923,1.408878807288708,1.0,3.0,2.153,2.0269554685265367,2.2790445314734633,0.0
binary_stairs,0.05,weak_only,1000,0.039,0.028658960904180485,0.052869310419501346,1.426,1.3737297324668902,1.4782702675331096,1.0,3.0,1.426,1.3737297324668902,1.4782702675331096,0.0
six_class,0.01,fixed_schedule,900,0.16666666666666666,0.14374606028761466,0.19242070419908802,3.0944444444444446,2.9293184871948994,3.2595704016939897,2.0,8.0,3.3344444444444443,3.130269491221674,3.5386193976672145,0.0
six_class,0.01,oracle_all,900,0.18222222222222223,0.15837025611633693,0.20877539269431966,1.0866666666666667,1.064313584725572,1.1090197486077613,1.0,2.0,5.433333333333334,5.32156792362786,5.545098743038807,0.0
six_class,0.01,proposed_gated,900,0.1388888888888889,0.11782570319870886,0.16302162499521908,2.438888888888889,2.244636640842098,2.6331411369356803,2.0,5.0,4.858888888888889,4.29523956864004,5.422538209137738,0.0
six_class,0.01,reversible_posterior,900,0.14222222222222222,0.12092158662882978,0.16656407392023115,2.0455555555555556,1.9713710033016578,2.119740107809453,2.0,4.0,4.723333333333334,4.477873924594085,4.968792742072583,0.0
six_class,0.01,weak_only,900,0.16666666666666666,0.14374606028761466,0.19242070419908802,3.1066666666666665,2.9455458285945735,3.2677875047387595,2.0,8.0,3.1066666666666665,2.9455458285945735,3.2677875047387595,0.0
six_class,0.05,fixed_schedule,900,0.17666666666666667,0.15313915557013225,0.2029426059819694,2.5033333333333334,2.382701612991674,2.623965053674993,2.0,6.0,2.5411111111111113,2.411991555903464,2.6702306663187585,0.0
six_class,0.05,oracle_all,900,0.17,0.1468737317824484,0.1959313650593873,1.05,1.0324665702832598,1.0675334297167403,1.0,1.0,5.25,5.162332851416299,5.337667148583701,0.0
six_class,0.05,proposed_gated,900,0.14555555555555555,0.12402167440518766,0.17010231849900623,2.0566666666666666,1.9232319020494744,2.1901014312838587,2.0,5.0,3.8222222222222224,3.4332475117305092,4.211196932713936,0.0
six_class,0.05,reversible_posterior,900,0.11555555555555555,0.09628387320880952,0.13809512849918762,1.8711111111111112,1.7966736563014791,1.9455485659207432,2.0,4.0,3.8244444444444445,3.595766280660141,4.053122608228748,0.0
six_class,0.05,weak_only,900,0.17,0.1468737317824484,0.1959313650593873,2.4566666666666666,2.338052780847082,2.575280552486251,2.0,6.0,2.4566666666666666,2.338052780847082,2.575280552486251,0.0
