benchmark,delta,method,n_trials,error_rate,error_ci_lo,error_ci_hi,mean_tau,tau_ci_lo,tau_ci_hi,median_tau,p95_tau,mean_sensor_cost,sensor_cost_ci_lo,sensor_cost_ci_hi,cap_rate
binary_stairs,0.01,fixed_schedule,1000,0.032,0.022757107858710962,0.04482473808376865,1.625,1.5536912765360544,1.6963087234639456,1.0,4.0,1.636,1.560065495877154,1.7119345041228458,0.0
binary_stairs,0.01,oracle_all,1000,0.0,2.168404344971009e-19,0.0038267584855551234,1.095,1.0738822551896308,1.1161177448103692,1.0,2.0,5.475,5.369411275948154,5.580588724051846,0.0
binary_stairs,0.01,proposed_gated,1000,0.019,0.012196885750790904,0.02948445591231312,1.572,1.5097167412061367,1.6342832587938634,1.0,4.0,2.69,2.509359843133369,2.870640156866631,0.0
binary_stairs,0.01,reversible_posterior,1000,0.019,0.012196885750790904,0.02948445591231312,1.398,1.3543454774044683,1.4416545225955315,1.0,3.0,2.445,2.2940839962141206,2.595916003785879,0.0
binary_stairs,0.01,weak_only,1000,0.029,0.02026644815669875,0.04133835833669418,1.585,1.5197628443849176,1.6502371556150823,1.0,4.0,1.585,1.5197628443849176,1.6502371556150823,0.0
binary_stairs,0.05,fixed_schedule,1000,0.04,0.02951097368545276,0.05400964412125796,1.394,1.3434409281015647,1.4445590718984351,1.0,3.0,1.396,1.34429706098578,1.4477029390142198,0.0
binary_stairs,0.05,oracle_all,1000,0.015,0.009110978804081668,0.024600976926906798,1.019,1.010091395629385,1.0279086043706147,1.0,1.0,5.095,5.050456978146926,5.139543021853074,0.0
binary_stairs,0.05,proposed_gated,1000,0.015,0.009110978804081668,0.024600976926906798,1.404,1.3582303576337398,1.44976964236626,1.0,3.0,2.282,2.138643327299369,2.425356672700631,0.0
binary_stairs,0.05,reversible_posterior,1000,0.012,0.006877647806403522,0.02085726847549828,1.368,1.3271211927112923,1.408878807288708,1.0,3.0,2.153,2.0269554685265367,2.2790445314734633,0.0
binary_stairs,0.05,weak_only,1000,0.039,0.028658960904180485,0.052869310419501346,1.426,1.3737297324668902,1.4782702675331096,1.0,3.0,1.426,1.3737297324668902,1.4782702675331096,0.0
