benchmark,method,n_trials,error_x100,mean_tau,mean_sensor_cost,cap_rate
binary_stairs,oracle_all,1000,0.0,1.095,5.475,0.0
binary_stairs,reversible_posterior,1000,1.9,1.398,2.445,0.0
binary_stairs,proposed_gated,1000,1.9,1.572,2.69,0.0
binary_stairs,weak_only,1000,2.9000000000000004,1.585,1.585,0.0
binary_stairs,fixed_schedule,1000,3.2,1.625,1.636,0.0
six_class,proposed_gated,900,13.88888888888889,2.438888888888889,4.858888888888889,0.0
six_class,reversible_posterior,900,14.222222222222221,2.0455555555555556,4.723333333333334,0.0
six_class,weak_only,900,16.666666666666664,3.1066666666666665,3.1066666666666665,0.0
six_class,fixed_schedule,900,16.666666666666664,3.0944444444444446,3.3344444444444443,0.0
six_class,oracle_all,900,18.22222222222222,1.0866666666666667,5.433333333333334,0.0
