N,mode,true_h,decision,count
3,uniform_hardest,0,0,118
3,uniform_hardest,0,1,2
3,uniform_hardest,1,0,3
3,uniform_hardest,1,1,112
3,uniform_hardest,1,2,5
3,uniform_hardest,2,1,1
3,uniform_hardest,2,2,119
3,switching,0,0,114
3,switching,0,1,5
3,switching,0,2,1
3,switching,1,0,3
3,switching,1,1,117
3,switching,2,2,120
5,uniform_hardest,0,0,120
5,uniform_hardest,1,0,4
5,uniform_hardest,1,1,116
5,uniform_hardest,2,1,1
5,uniform_hardest,2,2,119
5,switching,0,0,120
5,switching,1,0,2
5,switching,1,1,116
5,switching,1,4,2
5,switching,2,2,120
10,uniform_hardest,0,0,120
10,uniform_hardest,1,1,119
10,uniform_hardest,1,2,1
10,uniform_hardest,2,2,120
10,switching,0,0,120
10,switching,1,1,116
10,switching,1,7,4
10,switching,2,2,118
10,switching,2,3,2
