N,mode,policy,true_h,n_trials,mean_tau,mean_tau_ci_lo,mean_tau_ci_hi,error_rate,error_ci_lo,error_ci_hi,false_unlock_rate,cap_hit_rate
3,uniform_hardest,gated,0,120,13.466666666666667,12.216458333333334,14.808541666666667,0.016666666666666666,0.004582564565921141,0.0587359629721589,0.0,0.0
3,uniform_hardest,gated,1,120,18.35,16.791666666666668,19.98375,0.06666666666666667,0.03416530686090633,0.12605130403530337,0.05,0.0
3,uniform_hardest,gated,2,120,14.658333333333333,13.224166666666667,16.200833333333332,0.008333333333333333,0.0014725557333420923,0.045696291245049675,0.0,0.0
3,uniform_hardest,oracle,0,120,7.666666666666667,7.1,8.233541666666666,0.008333333333333333,0.0014725557333420923,0.045696291245049675,0.0,0.0
3,uniform_hardest,oracle,1,120,8.1,7.6,8.6,0.03333333333333333,0.0130375510983506,0.082580337559106,1.0,0.0
3,uniform_hardest,oracle,2,120,7.65,7.166666666666667,8.208333333333334,0.0,0.0,0.031019166418703486,1.0,0.0
3,uniform_hardest,weak_only,0,120,13.466666666666667,12.324166666666667,14.791875,0.0,0.0,0.031019166418703486,0.0,0.0
3,uniform_hardest,weak_only,1,120,18.983333333333334,17.699375,20.425416666666667,0.058333333333333334,0.028541010000220295,0.11552592033630113,0.0,0.0
3,uniform_hardest,weak_only,2,120,14.033333333333333,12.448958333333334,15.775,0.008333333333333333,0.0014725557333420923,0.045696291245049675,0.0,0.0
3,switching,gated,0,120,220.8,191.84,250.92604166666666,0.05,0.023114364414465793,0.10480288536236734,0.0,0.0
3,switching,gated,1,120,272.15833333333336,240.21354166666669,305.4814583333333,0.025,0.008538174769902228,0.0709300333278661,0.05,0.0
3,switching,gated,2,120,11.816666666666666,10.75,12.925416666666667,0.0,0.0,0.031019166418703486,0.0,0.0
3,switching,oracle,0,120,311.6666666666667,268.35625,358.734375,0.041666666666666664,0.017926716880109515,0.09384085233703535,0.0,0.0
3,switching,oracle,1,120,16.016666666666666,14.275,18.02520833333333,0.0,0.0,0.031019166418703486,1.0,0.0
3,switching,oracle,2,120,300.53333333333336,261.25083333333333,344.5208333333333,0.041666666666666664,0.017926716880109515,0.09384085233703535,1.0,0.0
3,switching,weak_only,0,120,278.025,248.025625,308.7910416666666,0.058333333333333334,0.028541010000220295,0.11552592033630113,0.0,0.0
3,switching,weak_only,1,120,248.03333333333333,222.13145833333334,278.24333333333334,0.03333333333333333,0.0130375510983506,0.082580337559106,0.0,0.0
3,switching,weak_only,2,120,9.675,8.983333333333333,10.383333333333333,0.0,0.0,0.031019166418703486,0.0,0.0
5,uniform_hardest,gated,0,120,44.208333333333336,39.957708333333336,48.509166666666665,0.0,0.0,0.031019166418703486,0.0,0.0
5,uniform_hardest,gated,1,120,91.78333333333333,84.97375,99.10125,0.03333333333333333,0.0130375510983506,0.082580337559106,0.05,0.0
5,uniform_hardest,gated,2,120,107.66666666666667,99.13250000000001,117.38354166666667,0.008333333333333333,0.0014725557333420923,0.045696291245049675,0.0,0.0
5,uniform_hardest,oracle,0,120,28.408333333333335,26.166458333333335,30.617708333333333,0.0,0.0,0.031019166418703486,0.0,0.0
5,uniform_hardest,oracle,1,120,50.30833333333333,46.841458333333335,54.30958333333333,0.03333333333333333,0.0130375510983506,0.082580337559106,1.0,0.0
5,uniform_hardest,oracle,2,120,60.65,55.924791666666664,65.11833333333333,0.0,0.0,0.031019166418703486,1.0,0.0
5,uniform_hardest,weak_only,0,120,56.44166666666667,51.19104166666667,62.5425,0.016666666666666666,0.004582564565921141,0.0587359629721589,0.0,0.0
5,uniform_hardest,weak_only,1,120,91.44166666666666,84.690625,98.48458333333333,0.016666666666666666,0.004582564565921141,0.0587359629721589,0.0,0.0
5,uniform_hardest,weak_only,2,120,111.9,103.665,120.55020833333333,0.008333333333333333,0.0014725557333420923,0.045696291245049675,0.0,0.0
5,switching,gated,0,120,217.70833333333334,191.55145833333333,244.84416666666667,0.0,0.0,0.031019166418703486,0.0,0.0
5,switching,gated,1,120,324.1,292.0541666666667,357.67604166666666,0.03333333333333333,0.0130375510983506,0.082580337559106,0.05,0.0
5,switching,gated,2,120,387.8666666666667,343.98645833333336,432.4577083333333,0.0,0.0,0.031019166418703486,0.0,0.0
5,switching,oracle,0,120,329.9,292.40791666666667,372.07916666666665,0.008333333333333333,0.0014725557333420923,0.045696291245049675,0.0,0.0
5,switching,oracle,1,120,406.425,370.25645833333334,446.66770833333334,0.016666666666666666,0.004582564565921141,0.0587359629721589,1.0,0.0
5,switching,oracle,2,120,351.975,312.4241666666667,389.33729166666666,0.0,0.0,0.031019166418703486,1.0,0.0
5,switching,weak_only,0,120,339.2083333333333,301.55291666666665,375.9802083333333,0.016666666666666666,0.004582564565921141,0.0587359629721589,0.0,0.0
5,switching,weak_only,1,120,330.69166666666666,302.9097916666667,360.34187499999996,0.03333333333333333,0.0130375510983506,0.082580337559106,0.0,0.0
5,switching,weak_only,2,120,384.8833333333333,348.4327083333333,425.2285416666667,0.025,0.008538174769902228,0.0709300333278661,0.0,0.0
10,uniform_hardest,gated,0,120,197.41666666666666,176.69041666666666,219.33395833333333,0.0,0.0,0.031019166418703486,0.0,0.0
10,uniform_hardest,gated,1,120,434.025,407.0947916666667,461.493125,0.008333333333333333,0.0014725557333420923,0.045696291245049675,0.05,0.0
10,uniform_hardest,gated,2,120,529.0083333333333,498.5725,559.5970833333333,0.0,0.0,0.031019166418703486,0.0,0.0
10,uniform_hardest,oracle,0,120,101.40833333333333,90.69833333333334,113.47520833333333,0.0,0.0,0.031019166418703486,0.0,0.0
10,uniform_hardest,oracle,1,120,200.325,186.16020833333334,215.7097916666667,0.041666666666666664,0.017926716880109515,0.09384085233703535,1.0,0.0
10,uniform_hardest,oracle,2,120,293.03333333333336,273.673125,313.78458333333333,0.016666666666666666,0.004582564565921141,0.0587359629721589,1.0,0.0
10,uniform_hardest,weak_only,0,120,274.23333333333335,244.10770833333333,305.2295833333334,0.0,0.0,0.031019166418703486,0.0,0.0
