max_steps,true_h,n_trials,mean_tau,mean_tau_ci_lo,mean_tau_ci_hi,median_tau,q95_tau,error_rate,error_ci_lo,error_ci_hi,false_unlock_rate,false_unlock_ci_lo,false_unlock_ci_hi,failed_unlock_rate,mean_relocks,mean_N1,mean_N2,cap_hit_rate
50,0,1500,27.637333333333334,26.94299695050439,28.331669716162278,24.0,50.0,0.06533333333333333,0.05390496504223255,0.07898235339717855,0.0,0.0,0.002554430720181488,0.132,0.0,24.807333333333332,2.83,0.16066666666666668
50,1,1500,38.43333333333333,37.831977342406034,39.034689324260626,41.0,50.0,0.03666666666666667,0.028277917491892006,0.04742252164214284,0.08,0.0673194201867346,0.09482630161821785,0.0,0.0,37.74933333333333,0.684,0.376
100,0,1500,32.26533333333333,31.12886311017246,33.4018035564942,24.0,87.0,0.017333333333333333,0.011855871598742648,0.02527667218980588,0.0,0.0,0.002554430720181488,0.038,0.0,29.079333333333334,3.186,0.036
100,1,1500,45.87733333333333,44.64845199120943,47.10621467545724,39.0,100.0,0.008666666666666666,0.005071820780159603,0.014771666474205405,0.09266666666666666,0.0790150630259206,0.10839927986745393,0.0,0.0,45.083333333333336,0.794,0.052
250,0,1500,31.502,30.31022900777303,32.693770992226966,24.0,77.04999999999995,0.007333333333333333,0.004099723207137282,0.01308390919581488,0.0,0.0,0.002554430720181488,0.007333333333333333,0.0,28.116666666666667,3.3853333333333335,0.0
250,1,1500,47.92333333333333,46.47601903470972,49.37064763195694,39.0,104.0,0.005333333333333333,0.0027049287623018017,0.010488921363531084,0.08933333333333333,0.07592860732745665,0.10483609843738576,0.0,0.0,47.14666666666667,0.7766666666666666,0.0006666666666666666
500,0,1500,32.858,31.63601605765016,34.079983942349834,24.0,82.0,0.011333333333333334,0.007087940474416899,0.018075256482773812,0.0,0.0,0.002554430720181488,0.01,0.0,29.476,3.382,0.0
500,1,1500,48.516,47.043457599629825,49.98854240037017,41.0,107.0,0.008,0.0045822256095402435,0.013931334219118342,0.10066666666666667,0.0864453274698467,0.11692814453200492,0.0,0.0,47.60466666666667,0.9113333333333333,0.0
1000,0,1500,32.708,31.50529457330353,33.91070542669647,24.0,82.0,0.010666666666666666,0.006576312321062792,0.01725695721042149,0.0,0.0,0.002554430720181488,0.010666666666666666,0.0,29.448,3.26,0.0
1000,1,1500,47.992666666666665,46.53691519990549,49.448418133427836,41.0,99.0,0.008666666666666666,0.005071820780159603,0.014771666474205405,0.08466666666666667,0.07161770137304219,0.09983751241185523,0.0,0.0,47.28,0.7126666666666667,0.0
