delta,rho,alpha,true_h,n_trials,mean_tau,mean_tau_ci_lo,mean_tau_ci_hi,median_tau,q95_tau,error_rate,error_ci_lo,error_ci_hi,false_unlock_rate,false_unlock_ci_lo,false_unlock_ci_hi,failed_unlock_rate,mean_relocks,mean_N1,mean_N2,empirical_poc,theory_poc
0.01,0.1,0.6309573444801932,0,800,11.87125,11.112271094575128,12.630228905424872,7.0,30.0,0.005,0.0019460690034415126,0.012785018440177761,0.0,4.336808689942018e-19,0.004778876205676033,0.00125,0.0,7.01875,4.8525,1.8291602465331278,1.910874475691643
0.01,0.1,0.6309573444801932,1,800,24.47625,23.09425105171984,25.85824894828016,18.0,64.0,0.01,0.005075687871617385,0.01960761080994513,0.5475,0.5128638732045729,0.5816821335558877,0.0,0.0,20.84375,3.6325,,
0.01,0.3,0.251188643150958,0,800,23.16125,21.88836783622159,24.434132163778408,17.0,62.049999999999955,0.00875,0.00424484119867202,0.01795040467340469,0.0,4.336808689942018e-19,0.004778876205676033,0.00875,0.0,18.345,4.81625,3.509280303030303,3.7326234270749286
0.01,0.3,0.251188643150958,1,800,40.6,38.92467766847232,42.27532233152768,34.0,86.04999999999995,0.00625,0.0026724940266688478,0.014546646226436234,0.225,0.1974170693657335,0.2552113125473884,0.0,0.0,38.79,1.81,,
0.01,0.5,0.1,0,800,33.695,31.881638752302315,35.508361247697685,24.0,85.0,0.0125,0.006803696588795503,0.022855707711738636,0.0,4.336808689942018e-19,0.004778876205676033,0.0125,0.0,30.5525,3.1425,5.217963608207511,5.554372378458215
0.01,0.5,0.1,1,800,49.82,47.681470671449766,51.958529328550235,42.0,109.0,0.00375,0.00127614042669069,0.010966894207442773,0.0975,0.07882711251857823,0.12001988282699101,0.0,0.0,48.93125,0.88875,,
0.01,0.7,0.039810717055349734,0,800,42.445,40.43132175938838,44.45867824061162,34.0,99.0,0.00375,0.00127614042669069,0.010966894207442773,0.0,4.336808689942018e-19,0.004778876205676033,0.00375,0.0,40.84875,1.59625,6.361183964031472,7.3761213298415
0.01,0.7,0.039810717055349734,1,800,52.04375,49.858117854811596,54.22938214518841,44.0,112.0,0.0175,0.010452543513909231,0.029159072024568154,0.0425,0.03057072542368845,0.05880194630450512,0.0,0.0,51.72125,0.3225,,
0.01,0.9,0.015848931924611134,0,800,52.87375,50.61965510757607,55.12784489242393,44.0,114.04999999999995,0.00875,0.00424484119867202,0.01795040467340469,0.0,4.336808689942018e-19,0.004778876205676033,0.00875,0.0,51.175,1.69875,8.047754946727549,9.197870281224786
0.01,0.9,0.015848931924611134,1,800,54.1425,51.744880223981774,56.54011977601822,46.0,124.09999999999991,0.0025,0.0006858581068306035,0.00906912371781705,0.00625,0.0026724940266688478,0.014546646226436234,0.0,0.0,54.11125,0.03125,,
0.001,0.1,0.5011872336272722,0,800,19.40625,18.42532108158316,20.38717891841684,15.0,48.049999999999955,0.00125,0.0002206897828266447,0.007046239232335199,0.0,4.336808689942018e-19,0.004778876205676033,0.00125,0.0,10.965,8.44125,2.328982898289829,1.910874475691643
0.001,0.1,0.5011872336272722,1,800,47.60125,45.283560896617324,49.91893910338268,42.0,114.0,0.0,4.336808689942018e-19,0.004778876205676033,0.39875,0.36538179739405846,0.43308592503759097,0.0,0.0,43.84875,3.7525,,
0.001,0.3,0.12589254117941673,0,800,35.12375,33.348153988010885,36.89934601198912,28.0,81.0,0.0,4.336808689942018e-19,0.004778876205676033,0.0,4.336808689942018e-19,0.004778876205676033,0.0,0.0,28.23125,6.8925,4.188878950506858,3.7326234270749286
0.001,0.3,0.12589254117941673,1,800,70.29625,67.58441398668538,73.00808601331462,62.0,143.19999999999982,0.0,4.336808689942018e-19,0.004778876205676033,0.12625,0.10500672189306873,0.15106548807067413,0.0,0.0,68.8725,1.42375,,
0.001,0.5,0.03162277660168379,0,800,47.3825,45.34635842178311,49.41864157821689,38.0,102.0,0.0,4.336808689942018e-19,0.004778876205676033,0.0,4.336808689942018e-19,0.004778876205676033,0.0,0.0,42.45,4.9325,5.719070609535304,5.554372378458215
0.001,0.5,0.03162277660168379,1,800,78.03125,75.42042346865063,80.64207653134937,70.0,150.0,0.0,4.336808689942018e-19,0.004778876205676033,0.02375,0.015256416731731351,0.03679546285417508,0.0,0.0,77.72375,0.3075,,
0.001,0.7,0.007943282347242817,0,800,63.30625,60.938277940762774,65.67422205923722,55.0,128.0,0.0,4.336808689942018e-19,0.004778876205676033,0.0,4.336808689942018e-19,0.004778876205676033,0.0,0.0,59.96375,3.3425,7.622667068031307,7.3761213298415
0.001,0.7,0.007943282347242817,1,800,83.0775,80.18116804504957,85.97383195495043,74.5,163.0999999999999,0.0,4.336808689942018e-19,0.004778876205676033,0.00375,0.00127614042669069,0.010966894207442773,0.0,0.0,83.02875,0.04875,,
0.001,0.9,0.0019952623149688794,0,800,77.45625,74.76950625779908,80.14299374220091,70.0,148.0,0.00125,0.0002206897828266447,0.007046239232335199,0.0,4.336808689942018e-19,0.004778876205676033,0.00125,0.0,75.8175,1.63875,9.374432677760968,9.197870281224786
0.001,0.9,0.0019952623149688794,1,800,80.80375,77.73647536231647,83.87102463768352,70.0,168.0,0.0,4.336808689942018e-19,0.004778876205676033,0.0,4.336808689942018e-19,0.004778876205676033,0.0,0.0,80.80375,0.0,,
