source,policy,true_class,decision,error,tau,Nweak,Nstrong,unlocked,cap_hit
mock fallback — NOT REPORTABLE,gated,1,1,0,69,11,58,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,16,11,5,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,62,58,4,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,74,73,1,1,0
mock fallback — NOT REPORTABLE,gated,1,1,0,80,36,44,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,49,47,2,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,36,35,1,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,61,57,4,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,49,42,7,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,91,90,1,1,0
mock fallback — NOT REPORTABLE,gated,1,1,0,88,54,34,1,0
mock fallback — NOT REPORTABLE,gated,1,1,0,27,15,12,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,31,29,2,1,0
mock fallback — NOT REPORTABLE,gated,1,1,0,32,16,16,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,28,27,1,1,0
mock fallback — NOT REPORTABLE,gated,1,1,0,39,13,26,1,0
mock fallback — NOT REPORTABLE,gated,1,1,0,41,17,24,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,47,46,1,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,35,34,1,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,92,91,1,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,17,13,4,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,25,24,1,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,22,14,8,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,79,78,1,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,153,152,1,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,42,41,1,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,67,65,2,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,39,37,2,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,56,54,2,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,12,9,3,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,40,39,1,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,46,44,2,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,36,35,1,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,39,20,19,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,77,75,2,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,50,11,39,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,63,62,1,1,0
mock fallback — NOT REPORTABLE,gated,1,1,0,57,19,38,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,110,105,5,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,54,53,1,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,26,18,8,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,28,27,1,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,19,18,1,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,28,25,3,1,0
mock fallback — NOT REPORTABLE,gated,1,1,0,90,17,73,1,0
mock fallback — NOT REPORTABLE,gated,1,1,0,28,11,17,1,0
mock fallback — NOT REPORTABLE,gated,1,1,0,48,33,15,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,38,37,1,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,48,47,1,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,60,58,2,1,0
mock fallback — NOT REPORTABLE,gated,1,1,0,92,71,21,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,32,29,3,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,137,136,1,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,27,26,1,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,54,52,2,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,83,82,1,1,0
mock fallback — NOT REPORTABLE,gated,1,1,0,26,10,16,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,76,66,10,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,17,16,1,1,0
mock fallback — NOT REPORTABLE,gated,1,1,0,92,18,74,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,50,48,2,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,58,56,2,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,35,23,12,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,121,120,1,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,51,50,1,1,0
mock fallback — NOT REPORTABLE,gated,1,1,0,67,37,30,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,118,115,3,1,0
mock fallback — NOT REPORTABLE,gated,1,1,0,51,22,29,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,38,37,1,1,0
mock fallback — NOT REPORTABLE,gated,1,1,0,51,24,27,1,0
mock fallback — NOT REPORTABLE,gated,1,1,0,73,18,55,1,0
mock fallback — NOT REPORTABLE,gated,1,1,0,64,21,43,1,0
mock fallback — NOT REPORTABLE,gated,1,1,0,41,21,20,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,38,35,3,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,35,34,1,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,27,26,1,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,84,59,25,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,33,32,1,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,52,46,6,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,57,53,4,1,0
mock fallback — NOT REPORTABLE,gated,1,1,0,42,21,21,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,25,23,2,1,0
mock fallback — NOT REPORTABLE,gated,1,1,0,48,13,35,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,48,47,1,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,39,38,1,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,31,29,2,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,63,62,1,1,0
mock fallback — NOT REPORTABLE,gated,1,1,0,56,23,33,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,28,17,11,1,0
mock fallback — NOT REPORTABLE,gated,1,1,0,83,33,50,1,0
mock fallback — NOT REPORTABLE,gated,1,1,0,60,16,44,1,0
mock fallback — NOT REPORTABLE,gated,1,1,0,85,13,72,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,67,65,2,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,47,46,1,1,0
mock fallback — NOT REPORTABLE,gated,1,1,0,68,26,42,1,0
mock fallback — NOT REPORTABLE,gated,1,1,0,53,33,20,1,0
mock fallback — NOT REPORTABLE,gated,1,1,0,44,9,35,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,78,77,1,1,0
mock fallback — NOT REPORTABLE,gated,1,2,1,48,46,2,1,0
mock fallback — NOT REPORTABLE,gated,1,1,0,71,30,41,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,21,14,7,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,44,42,2,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,78,72,6,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,75,64,11,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,70,69,1,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,44,28,16,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,54,49,5,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,52,29,23,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,91,90,1,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,63,57,6,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,76,68,8,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,48,43,5,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,77,73,4,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,23,18,5,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,53,48,5,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,33,29,4,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,105,95,10,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,97,93,4,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,124,114,10,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,70,62,8,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,70,68,2,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,18,11,7,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,33,26,7,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,25,18,7,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,33,30,3,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,128,116,12,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,75,74,1,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,49,29,20,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,24,17,7,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,67,57,10,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,31,25,6,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,43,22,21,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,50,40,10,1,0
mock fallback — NOT REPORTABLE,gated,2,4,1,58,54,4,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,115,113,2,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,56,45,11,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,45,34,11,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,79,50,29,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,69,60,9,1,0
